Brand,Product Name,Price,Rating,Number of Ratings,Link,Product Type,Product ID
Bumble and bumble,Gentle Moisturizing Shampoo,$34.00 ,4.6,193,https://www.ulta.com/p/gentle-moisturizing-shampoo-xlsImpprod16451056?sku=2516153,Shampoo,U90
Pacifica,Rosemary Purify Clarifying Shampoo,$11.00 ,4.6,280,https://www.ulta.com/p/rosemary-purify-clarifying-shampoo-pimprod2014376?sku=2560421,Shampoo,U91
Bed Head,Oh Bee Hive Volumizing Dry Shampoo For Day 2 Hair,$23.50 ,4.5,276,https://www.ulta.com/p/oh-bee-hive-volumizing-dry-shampoo-day-2-hair-pimprod2022522?sku=2576182,Shampoo,U92
Biolage,Travel Size Color Last Shampoo,$6.50 ,4.5,3378,https://www.ulta.com/p/travel-size-color-last-shampoo-xlsImpprod10141008?sku=2273895,Shampoo,U93
Nexxus,Clean & Pure Shampoo,$17.99 - $27.99 ,4.5,262,https://www.ulta.com/p/clean-pure-shampoo-pimprod2015677?sku=2560874,Shampoo,U94
Redken,Brews Daily Shampoo,$20.00 - $34.00 ,4.7,134,https://www.ulta.com/p/brews-daily-shampoo-xlsImpprod17701087?sku=2524387,Shampoo,U95
Alterna,Restructuring Bond Repair Shampoo,$36.00 - $55.00 ,4.6,121,https://www.ulta.com/p/restructuring-bond-repair-shampoo-pimprod2027098?sku=2586404,Shampoo,U96
Ouidad,Water Works Clarifying Shampoo,$24.00 ,4.5,184,https://www.ulta.com/p/water-works-clarifying-shampoo-xlsImpprod3780041?sku=2238639,Shampoo,U97
dpHUE,Apple Cider Vinegar Soothing Shampoo,$32.00 ,4.6,153,https://www.ulta.com/p/apple-cider-vinegar-soothing-shampoo-pimprod2015607?sku=2562979,Shampoo,U98
L'ange,Star Dust Dry Shampoo Powder,$20.00 ,4.8,1095,https://www.ulta.com/p/star-dust-dry-shampoo-powder-pimprod2034135?sku=2600998,Shampoo,U99
