Product Name,Brand,Price,Rating,Number of Ratings,Link,Product Type,Product ID
Mielle Organics Rosemary Mint Strengthening Shampoo - 12 fl oz,Mielle Organics,$9.99,4.6,2746,https://www.target.com/p/mielle-organics-rosemary-mint-strengthening-shampoo-12-fl-oz/-/A-75566112#lnk=sametab,Shampoo,T11
OGX Nourishing Coconut Milk Shampoo,OGX,$6.99 - $12.29,4.5,4046,https://www.target.com/p/ogx-nourishing-coconut-milk-shampoo/-/A-14568171?preselect=10997292#lnk=sametab,Shampoo,T12
Tresemme Flawless Curls Moisturizing Shampoo For Curly Hair - 28 fl oz,Tresemme,$5.99,4.5,891,https://www.target.com/p/tresemme-flawless-curls-moisturizing-shampoo-for-curly-hair-28-fl-oz/-/A-80135504#lnk=sametab,Shampoo,T13
Native Coconut Milk & Turmeric Curls 2-in-1 16.5oz,Native,$9.99,4.5,180,https://www.target.com/p/native-coconut-milk-38-turmeric-curls-2-in-1-16-5oz/-/A-87432650#lnk=sametab,Shampoo,T14
Happy Hair People Ride The Waves Shampoo - 12 fl oz,Happy Hair People,$7.99,4.5,119,https://www.target.com/p/happy-hair-people-ride-the-waves-shampoo-12-fl-oz/-/A-89202737#lnk=sametab,Shampoo,T15
Pantene Pro-V Miracles Curl Defining Coconut + Shea Shampoo Sulfate Free - 10.9 fl oz,Pantene,$9.99,4.5,141,https://www.target.com/p/pantene-pro-v-miracles-curl-defining-coconut-shea-shampoo-sulfate-free-10-9-fl-oz/-/A-89170358#lnk=sametab,Shampoo,T16
Mane 'N Tail Herbal Gro Olive Oil Infused Strengthens & Nourishes Shampoo - 27.05 fl oz,Mane 'N Tail,$7.99,4.6,166,https://www.target.com/p/mane-39-n-tail-herbal-gro-olive-oil-infused-strengthens-38-nourishes-shampoo-27-05-fl-oz/-/A-51188212#lnk=sametab,Shampoo,T17
Function of Beauty Wavy Hair Shampoo Jumbo - 22 fl oz,Function of Beauty,$16.99,4.5,1459,https://www.target.com/p/function-of-beauty-wavy-hair-shampoo-jumbo-22-fl-oz/-/A-88660645#lnk=sametab,Shampoo,T18
PATTERN Hydration Shampoo - Ulta Beauty,PATTERN,$12.00 - $45.00,4.6,5890,https://www.target.com/p/pattern-hydration-shampoo-ulta-beauty/-/A-84230372?preselect=82550462#lnk=sametab,Shampoo,T19
Carol's Daughter Born to Repair Sulfate-free Nourishing Shampoo -11 fl oz,Carol's Daughter,$12.59,4.6,1927,https://www.target.com/p/carol-39-s-daughter-born-to-repair-sulfate-free-nourishing-shampoo-11-fl-oz/-/A-86901555#lnk=sametab,Shampoo,T20
PATTERN Clarifying Shampoo - 7.8 fl oz - Ulta Beauty,PATTERN,$21.00,4.7,798,https://www.target.com/p/pattern-clarifying-shampoo-7-8-fl-oz-ulta-beauty/-/A-82550447#lnk=sametab,Shampoo,T21
Mielle Organics Babassu Oil Conditioning Sulfate-Free Shampoo - 8 fl oz,Mielle Organics,$13.79,4.6,903,https://www.target.com/p/mielle-organics-babassu-oil-conditioning-sulfate-free-shampoo-8-fl-oz/-/A-50661863#lnk=sametab,Shampoo,T22
